title,company,location,description,posted_at,source,source_url,scraped_at
Programmer / Software Engineer / Backend Developer,PT. Propagate Technologies Indonesia,Batam,— Candidate must possess at least Diploma or Bachelor's Degree in Computer Science/Information Technology or equivalent.— At least 1 year of working...,2022-01-06T00:58:48Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/programmer-software-engineer-backend-developer-3744413,2026-07-19T00:00:00Z
Business Analyst Internship (Product),PT Ruang Raya Indonesia (Jakarta),Jakarta Raya,Ruangguru is a tech-enabled education company that provides a one-stop learning experience for students to have better access to quality content and...,2022-01-05T23:01:35Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/business-analyst-internship-product-1030129649,2026-07-19T00:00:00Z
Golang Backend Developer,BCX Studio Pte. Ltd.,"Jakarta Raya,Bandung,Surabaya,Yogyakarta","We are building an e-commerce platform for products, services and food ordering to be used by enterprises and SME.Who are we looking for? You have...",2022-01-05T21:00:39Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/golang-backend-developer-9138226/origin/sg,2026-07-19T00:00:00Z
Data Scientist,PT Kamoro Maxima Integra,Jakarta Raya,You will be an instrumental member of our vision for data-driven innovation in mining industry. Data Science Team is providing a solution for company...,2022-01-05T20:30:57Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/data-scientist-3727625,2026-07-19T00:00:00Z
IT Business Analyst,PT Jasa Kelola Asia,Jakarta Raya,Candidate must possess at least Bachelor's Degree in Computer Science/Information Technology or equivalent. At least 3 Year(s) of working experience...,2022-01-05T20:30:57Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/it-business-analyst-3727696,2026-07-19T00:00:00Z
IT FULL STACK DEVELOPER,PT. Primarajuli Sukses,Cikupa,"• Pengkodean
• Menguasai Pemrograman Delphi (Object Pascal)
• Bisa untuk membuat Web Programing (.NET / Python) 
• Bisa untuk membuat mobile...",2022-01-05T20:30:55Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/it-full-stack-developer-3727886,2026-07-19T00:00:00Z
Backend Developer In Cyber Olympus,CV Cyber Olympus Indonesia,Sleman,"Working experience in the related of Laravel. At least 2 portfolio with Laravel project Required Skill(s): Laravel, PHP, JavaScript, HTML, API, JSON...",2022-01-05T20:30:52Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/backend-developer-in-cyber-olympus-3728077,2026-07-19T00:00:00Z
Full Stack Developer,PT Cerita Sehat Indonesia,Sulawesi Selatan,Job Responsibilities : Developing front-end website architecture Developing back-end website applications. Designing user interactions on web pages...,2022-01-05T20:00:58Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/full-stack-developer-3728193,2026-07-19T00:00:00Z
Backend Developer,PT. Global Infotech Solution,Sleman,"Requirement1.Bachelor Degree in Computer Science, or IT related disciplines.2. Strong knowledge in RDBMS like Oracle, MySQL, PostgreSQL, etc3....",2022-01-05T20:00:57Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/backend-developer-3728228,2026-07-19T00:00:00Z
Experienced Frontend Software Engineer,PT. DGIT Systems Indonesia,"Badung,Jakarta Raya,Bandung,Surabaya,Yogyakarta","We are looking for talented developers to join an experienced team of front-end engineers working on our flagship product Telflow, a multi-award...",2022-01-05T20:00:54Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/experienced-frontend-software-engineer-3728491,2026-07-19T00:00:00Z
Front End Developer,PT Linov Roket Prestasi,Jakarta Selatan,Job Description: Develop new user-facing features Build reusable code and libraries for future use Design and ensure the technical feasibility of...,2022-01-05T20:00:53Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/front-end-developer-3728652,2026-07-19T00:00:00Z
Senior Front-End Developer,Sprout Digital Labs,Tangerang,"Experience of front end developer with 3-5+ years Developing new user-facing features using React.js, Nextjs, Flutter web Building reusable components...",2022-01-05T20:00:53Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/senior-front-end-developer-3728595,2026-07-19T00:00:00Z
Backend Developer (NODE JS),PT Ako Media Asia,Jakarta Selatan,Job Descriptions: Building and maintaining web applications using NodeJS Framework. Building and maintaining database using MySQL and PostgreSQL....,2022-01-05T20:00:52Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/backend-developer-node-js-3728754,2026-07-19T00:00:00Z
Team Leader & Architec Software Engineer,PT Asian Sigma Teknologi (SIGMATECH),Jakarta Selatan,Requirements:Years of experience- +5 years of experience as a Full-stack developerSkills Required:- Bachelor degree in Computer Science or equivalent...,2022-01-05T20:00:48Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/team-leader-architec-software-engineer-3732841,2026-07-19T00:00:00Z
Software Engineer - Backend,PT. Bringin Inti Teknologi,Jakarta Pusat,Job Description Develop backend system that needed for each product Develop development life cycle Deploy backend system that needed Maintain backend...,2022-01-05T20:00:48Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/software-engineer-backend-3732905,2026-07-19T00:00:00Z
